Block,treatment,stage,rep,fs,fms,y,etr,fo,fm,fvm,fvo,aphids ,fresh_weight_g,dry_weight_g
1,Veg Aphid Free,veg,1,182,749,0.757,29.5,256,926,0.723,2.617,0,31.03,11.85129363
1,Veg Aphid Free,veg,2,180,742,0.757,37.5,202,855,0.763,3.232,0,28.77,8.865679758
1,Veg Aphid Free,veg,3,186,757,0.754,46.5,200,836,0.76,3.18,0,29.37,9.57415748
1,Veg Aphid Free,veg,4,218,784,0.721,49.6,207,864,0.76,3.173,0,20.77,6.274620355
1,Veg Aphid Free,veg,5,223,596,0.625,57.7,231,724,0.68,2.134,0,24.54,8.798487805
1,Veg Aphid Free,veg,6,178,509,0.65,32.2,212,604,0.649,1.849,0,14.67,3.627070866
1,Veg Aphid Free,veg,7,214,690,0.689,52.3,206,726,0.716,2.524,0,10.517,2.965099542
1,Veg Aphid Free,veg,8,164,357,0.54,74.3,225,698,0.677,2.102,0,26.91,8.588056492
1,Veg Aphid Free,veg,9,218,710,0.692,66.8,233,802,0.709,2.442,0,19.54,6.924368932
1,Flow Aphid Free,flow,1,212,672,0.684,31,250,826,0.697,2.304,0,34.41,11.20750249
1,Flow Aphid Free,flow,2,214,601,0.643,42.6,254,785,0.676,2.09,0,25.52,9.765863874
1,Flow Aphid Free,flow,3,194,467,0.584,42.9,168,534,0.685,2.178,0,27.7,10.25385965
1,Flow Aphid Free,flow,4,158,372,0.575,22.7,241,819,0.705,2.398,0,13.1,4.14735426
1,Flow Aphid Free,flow,5,198,676,0.707,20.4,236,844,0.72,2.576,0,33.66,12.41361702
1,Flow Aphid Free,flow,6,551,644,0.144,15.3,264,598,0.558,1.265,0,12.37,4.350979519
1,Flow Aphid Free,flow,7,156,482,0.676,21.2,194,741,0.738,2.819,0,35.89,14.28539672
1,Flow Aphid Free,flow,8,172,580,0.703,29.5,212,687,0.691,2.24,0,31.949,11.13256052
1,Flow Aphid Free,flow,9,122,321,0.619,22.3,232,636,0.635,1.741,0,29.04,10.03648725
1,Flow Aphid Free,flow,10,194,522,0.628,49.5,261,849,0.692,2.252,0,37.76,13.39515328
1,Post Aphid Free,post,1,195,699,0.721,42,226,990,0.771,3.38,0,46.67,15.47943499
1,Post Aphid Free,post,2,203,708,0.713,29.9,203,867,0.765,3.27,0,73.61,26.70303127
1,Post Aphid Free,post,3,188,732,0.743,27.1,232,1012,0.77,3.362,0,65.71,24.17196776
1,Post Aphid Free,post,4,203,484,0.58,20.9,265,819,0.676,2.09,0,50.96,17.51349539
1,Post Aphid Free,post,5,212,662,0.679,27.3,268,867,0.69,2.235,0,51.57,17.17915457
