Treatment ,Plant ,Fs,Fms,Y,ETR,N of Aphids ,Dry_weight ,Observation
Veg_noninf,1,137,615,0.777,2.2,0,4.19,
Veg_noninf,2,143,680,0.789,2.6,0,3.75,
Veg_noninf,3,161,682,0.763,2.2,0,1.16,
Veg_noninf,4,147,701,0.79,1.3,0,2.84,
Veg_noninf,5,132,614,0.785,1.6,0,3.63,
Veg_noninf,6,147,704,0.791,1.9,0,2.68,
Veg_noninf,7,136,581,0.765,2.5,0,2.32,
Veg_noninf,8,144,641,0.775,2.2,0,4.41,
Veg_noninf,9,139,653,0.787,1.3,0,3.36,
Veg_noninf,10,166,686,0.758,1.2,0,1.74,
Veg_inf,1,180,753,0.76,2.2,1980,2.86,
Veg_inf,2,147,722,0.796,2.3,1636,3.49,
Veg_inf,3,168,766,0.78,2.6,2061,3.36,
Veg_inf,4,162,729,0.777,1.9,1714,4.15,
Veg_inf,5,138,691,0.8,2.6,3450,4.44,
Veg_inf,6,148,729,0.796,1.6,1554,2.91,
Veg_inf,7,152,700,0.782,1.6,2246,3.94,
Veg_inf,8,174,726,0.76,1.2,2983,2.06,
Veg_inf,9,149,698,0.786,2.3,1381,2.98,
Veg_inf,10,163,708,0.769,1.9,2452,1.83,
Flow_noinf,1,162,788,0.794,1.6,0,7.2,
Flow_noinf,2,167,712,0.765,0.6,0,4.82,
Flow_noinf,3,166,778,0.786,1.9,0,5.53,
Flow_noinf,4,154,725,0.787,1.9,0,5.4,
Flow_noinf,5,160,673,0.762,2.8,0,5.45,
Flow_noinf,6,150,689,0.782,2.6,0,4.72,
Flow_noinf,7,149,612,0.756,1.9,0,3.78,
Flow_noinf,8,161,669,0.759,2.8,0,4.94,
Flow_noinf,9,160,751,0.786,1.3,0,5.29,
Flow_noinf,10,161,696,0.768,2.9,0,6.1,
Flow_inf,1,157,675,0.767,4.1,584,3.52,
Flow_inf,2,146,654,0.776,2.6,1238,5.94,
Flow_inf,3,150,672,0.776,3.5,444,5.56,
Flow_inf,4,154,677,0.772,3.8,1172,6.62,
Flow_inf,5,152,685,0.772,1.6,1362,5.82,
Flow_inf,6,154,708,0.782,3.2,724,4.7,
Flow_inf,7,156,702,0.777,1.3,757,6.7,
Flow_inf,8,128,578,0.778,2.2,1382,4.52,
Flow_inf,9,163,723,0.774,1.6,1807,5.15,
Flow_inf,10,145,667,0.782,1.9,1185,3.19,
