Treatment,stage,treatment,rep,fs,fms,y,etr,fo,fm,fvm,fvo,aphids ,Plant fresh weight (g),Dry weight (g),Finaldryweight
Veg Aphid Free,veg,aphidfree,1,206,696,0.704,26.3,264,972,0.728,2.681,0,23.61,4.62,5.09158831
Veg Aphid Free,veg,aphidfree,2,216,790,0.726,24.3,223,964,0.768,3.322,0,38.9,8.23,9.093197943
Veg Aphid Free,veg,aphidfree,3,204,720,0.716,29.7,261,972,0.731,2.724,0,25.96,4.97,5.641983821
Veg Aphid Free,veg,aphidfree,4,192,719,0.732,40.8,241,979,0.753,3.062,0,29.4,5.36,6.459346939
Veg Aphid Free,veg,aphidfree,5,207,728,0.715,34.2,236,817,0.711,2.461,0,48.57,11.37,12.42342804
Veg Aphid Free,veg,aphidfree,6,169,614,0.724,32.8,187,741,0.747,2.962,0,10.04,3.44,4.296573705
Veg Aphid Free,veg,aphidfree,7,193,747,0.741,28.9,229,930,0.753,3.061,0,29.7,7.67,8.59969697
Veg Aphid Free,veg,aphidfree,8,201,752,0.732,25.8,280,1121,0.75,3.003,0,28.27,5.91,6.92810046
Veg Aphid Free,veg,aphidfree,9,193,757,0.745,23.4,230,990,0.767,3.304,0,30.61,7.61,8.778474355
Flow Aphid Free,veg,aphidfree,10,185,733,0.747,21.6,251,1040,0.758,3.143,0,37.7,8.92,9.868785146
Flow Aphid Free,flow,aphidfree,1,168,669,0.748,38.9,240,957,0.749,2.987,0,25.1,8.48,10.51384861
Flow Aphid Free,flow,aphidfree,2,213,789,0.73,37.7,229,997,0.77,3.353,0,28.26,9.15,10.8336518
Flow Aphid Free,flow,aphidfree,3,183,793,0.769,35.1,181,804,0.774,3.441,0,30.5,9.39,10.46754098
Flow Aphid Free,flow,aphidfree,4,208,817,0.745,34.1,224,930,0.759,3.151,0,28.85,9.02,11.23982669
Flow Aphid Free,flow,aphidfree,5,223,635,0.648,31.2,266,939,0.716,2.53,0,20.1,6.65,8.60199005
Flow Aphid Free,flow,aphidfree,6,196,727,0.73,49,155,687,0.774,3.432,0,19.58,7.39,9.541327886
Flow Aphid Free,flow,aphidfree,7,218,797,0.726,26.5,244,985,0.752,3.036,0,28.5,10.84,12.58961404
Flow Aphid Free,flow,aphidfree,8,162,580,0.72,26.3,246,978,0.748,2.975,0,20,7.14,9.2106
Flow Aphid Free,flow,aphidfree,9,128,556,0.769,28,170,755,0.774,3.441,0,27.5,8.85,10.39472727
Flow Aphid Free,flow,aphidfree,10,237,810,0.707,26.1,243,975,0.75,3.012,0,23.36,8.42,10.83498288
PostFlow Aphid Free,post,aphidfree,1,215,557,0.614,26.2,192,803,0.76,3.182,0,31.23,9.9,12.08731988
PostFlow Aphid Free,post,aphidfree,2,237,726,0.673,47.1,255,1038,0.754,3.07,0,29.4,10.27,13.58853741
PostFlow Aphid Free,post,aphidfree,3,216,682,0.683,30.9,289,1144,0.747,2.958,0,38.4,14.03,17.39135417
PostFlow Aphid Free,post,aphidfree,4,241,743,0.675,37.7,225,882,0.744,2.92,0,31.6,11.92,14.07012658
PostFlow Aphid Free,post,aphidfree,5,218,722,0.698,24.6,239,879,0.728,2.677,0,35.7,11.75,15.27170868
PostFlow Aphid Free,post,aphidfree,6,188,654,0.712,27.8,207,872,0.762,3.212,0,30.26,10.17,12.38817581
PostFlow Aphid Free,post,aphidfree,7,193,746,0.741,34.2,223,925,0.758,3.147,0,44.6,15.17,17.10876682
PostFlow Aphid Free,post,aphidfree,8,190,692,0.725,35.6,232,880,0.736,2.793,0,32.6,10.38,14.45558282
PostFlow Aphid Free,post,aphidfree,9,260,808,0.678,33.5,211,630,0.665,1.985,0,37.67,13.24,16.1923759
PostFlow Aphid Free,post,aphidfree,10,310,541,0.426,37.9,197,632,0.688,2.208,0,30.9,9.47,10.72653722
Veg Infested,veg,infest,2,218,812,0.731,42.6,232,900,0.742,2.879,3616,28.9,4.38,4.652802768
Veg Infested,veg,infest,3,166,734,0.773,24.9,186,826,0.774,3.44,2659,28.27,6.04,6.766423771
Veg Infested,veg,infest,4,201,709,0.716,24,235,919,0.744,2.91,5027,19.74,4.33,5.097730496
Veg Infested,veg,infest,5,207,766,0.729,27.8,223,913,0.755,3.094,4582,20.6,5.54,6.266116505
Veg Infested,veg,infest,6,210,780,0.73,29.4,227,876,0.74,2.859,3599,20.4,4.64,5.185882353
Veg Infested,veg,infest,7,219,804,0.727,23.5,238,904,0.736,2.798,4057,27.4,6.29,7.139379562
Veg Infested,veg,infest,8,178,720,0.752,28.7,140,601,0.767,3.292,3717,17.9,3.41,3.98150838
Veg Infested,veg,infest,9,197,786,0.749,23.2,219,933,0.765,3.26,3748,22.6,4.53,5.12130531
Flow Infested,flow,infest,1,143,534,0.732,39.3,261,997,0.738,2.819,2178,24.1,7.5,8.869294606
Flow Infested,flow,infest,2,190,691,0.725,35,265,951,0.721,2.588,1959,21.22,6.6,8.528369463
Flow Infested,flow,infest,3,214,749,0.714,35.3,220,854,0.742,2.881,1545,20.3,6.35,7.835837438
Flow Infested,flow,infest,4,199,672,0.703,42.5,245,965,0.746,2.938,3338,23.16,6.84,7.962279793
Flow Infested,flow,infest,5,157,586,0.732,24.8,234,930,0.748,2.974,4105,18.6,5.46,6.516774194
Flow Infested,flow,infest,6,178,751,0.762,25.6,221,934,0.763,3.226,2968,17.15,6.34,7.264198251
Flow Infested,flow,infest,7,198,619,0.68,24.8,273,967,0.717,2.542,1611,17.33,5.58,6.919457588
Flow Infested,flow,infest,8,203,689,0.705,21.3,276,955,0.71,2.46,3397,14.2,4.85,5.874647887
Flow Infested,flow,infest,9,198,766,0.741,25.5,223,928,0.759,3.161,1621,22.2,8.13,9.448378378
Flow Infested,flow,infest,10,177,647,0.726,32,223,972,0.77,3.358,1545,23.9,8.29,9.885564854
PostFlow Infested,post,infest,1,157,376,0.582,26.1,165,443,0.627,1.684,281,23.1,8.28,10.00051948
PostFlow Infested,post,infest,2,258,844,0.694,42.5,298,1071,0.721,2.593,456,38.21,12.1,14.66503533
PostFlow Infested,post,infest,3,234,684,0.657,26.7,242,760,0.681,2.14,586,23.08,8.01,9.502331023
PostFlow Infested,post,infest,4,208,695,0.7,33.2,235,943,0.75,3.012,842,36.9,13.22,15.33376694
PostFlow Infested,post,infest,5,189,608,0.689,24.8,243,919,0.735,2.781,532,33.1,12.72,14.52616314
PostFlow Infested,post,infest,6,188,619,0.696,18.7,211,701,0.699,2.322,607,28.1,9.47,11.62686833
PostFlow Infested,post,infest,7,214,794,0.73,18.3,206,888,0.768,3.31,431,40.25,14.84,18.41634783
PostFlow Infested,post,infest,8,150,596,0.748,22.6,207,929,0.777,3.487,865,36.1,12.68,15.06847645
PostFlow Infested,post,infest,9,218,732,0.702,20.9,309,1129,0.726,2.653,799,30.9,9.75,11.3592233
PostFlow Infested,post,infest,10,198,721,0.725,19.1,241,1000,0.759,3.149,561,32.9,11.15,13.45455927
Veg Aphid Free,veg,aphidfree,1,196,815,0.759,23.2,230,1034,0.777,3.495,0,27.5,7.49,8.524981818
Veg Aphid Free,veg,aphidfree,2,199,793,0.749,22.3,210,873,0.759,3.157,0,24.6,5.25,5.740853659
Veg Aphid Free,veg,aphidfree,3,204,704,0.71,16.1,191,837,0.771,3.382,0,26.6,6.34,7.055037594
Veg Aphid Free,veg,aphidfree,4,210,796,0.736,34.6,226,1004,0.774,3.442,0,26,6.86,7.783461538
Veg Aphid Free,veg,aphidfree,5,196,818,0.76,26.1,227,960,0.763,3.229,0,32,7.41,8.40571875
Veg Aphid Free,veg,aphidfree,6,193,778,0.751,21.1,210,942,0.777,3.485,0,30.4,8.02,9.180789474
Veg Aphid Free,veg,aphidfree,7,186,775,0.76,33.8,201,901,0.776,3.482,0,30.4,7.41,8.263125
Veg Aphid Free,veg,aphidfree,8,195,790,0.753,39.8,220,921,0.761,3.186,0,35.4,9.36,10.6820339
Veg Aphid Free,veg,aphidfree,9,193,764,0.747,27.9,211,899,0.765,3.26,0,31.6,5.38,5.958860759
Flow Aphid Free,veg,aphidfree,10,220,833,0.735,31.1,275,995,0.723,2.618,0,26.9,7.16,9.129665428
Flow Aphid Free,flow,aphidfree,1,137,574,0.761,28.1,181,762,0.762,3.209,0,51.9,13.92,15.10011561
Flow Aphid Free,flow,aphidfree,3,183,766,0.761,15.9,230,972,0.763,3.226,0,48.8,13.27,15.25506148
Flow Aphid Free,flow,aphidfree,4,162,712,0.772,15.5,193,871,0.778,3.512,0,52.1,14.19,15.52456814
Flow Aphid Free,flow,aphidfree,5,227,795,0.714,23.9,220,913,0.759,3.15,0,23.4,9.62,10.85333333
Flow Aphid Free,flow,aphidfree,6,154,599,0.742,31.7,231,976,0.763,3.225,0,46.9,13.46,14.66537313
Flow Aphid Free,flow,aphidfree,7,203,774,0.737,38.3,247,984,0.748,2.983,0,30.6,9.07,9.722091503
Flow Aphid Free,flow,aphidfree,9,203,821,0.752,11.3,261,1150,0.773,3.406,0,30.8,7.61,9.487792208
Flow Aphid Free,flow,aphidfree,10,148,700,0.788,14.5,179,873,0.794,3.877,0,46.2,12.45,13.87824675
PostFlow Aphid Free,post,aphidfree,1,159,654,0.756,21.5,224,914,0.754,3.08,0,30.2,10.29,12.98175497
