Instar,Rep,prey_density,prey_left,prey_eaten,pred_mort,Pconsumed
I,1,10,9,1,0,0.1
I,1,20,17,3,0,0.15
I,1,40,40,0,1,0
I,1,80,73,7,0,0.0875
I,1,100,84,16,0,0.16
I,2,10,9,1,1,0.1
I,2,20,18,2,0,0.1
I,2,40,37,3,0,0.075
I,2,80,74,6,0,0.075
I,2,100,100,0,0,0
I,3,10,10,0,0,0
I,3,20,20,0,0,0
I,3,40,38,2,0,0.05
I,3,80,79,1,0,0.0125
I,3,100,80,20,0,0.2
I,4,10,7,3,0,0.3
I,4,20,20,0,1,0
I,4,40,37,3,0,0.075
I,4,80,73,7,0,0.0875
I,4,100,91,9,0,0.09
I,5,10,10,0,1,0
I,5,20,20,0,0,0
I,5,40,38,2,0,0.05
I,5,80,79,1,0,0.0125
I,5,100,96,4,0,0.04
I,6,10,5,5,0,0.5
I,6,20,17,3,0,0.15
I,6,40,24,16,0,0.4
I,6,80,75,5,0,0.0625
I,6,100,86,14,0,0.14
I,7,10,7,3,0,0.3
I,7,20,17,3,0,0.15
I,7,40,17,23,0,0.575
I,7,80,72,8,0,0.1
I,7,100,93,7,0,0.07
I,8,10,10,0,0,0
I,8,20,17,3,1,0.15
I,8,40,38,2,0,0.05
I,8,80,69,11,0,0.1375
I,8,100,81,19,0,0.19
I,9,10,7,3,0,0.3
I,9,20,19,1,0,0.05
I,9,40,36,4,0,0.1
I,9,80,78,2,0,0.025
I,9,100,94,6,0,0.06
I,10,10,9,1,0,0.1
I,10,20,16,4,0,0.2
I,10,40,38,2,0,0.05
I,10,80,74,6,0,0.075
I,10,100,94,6,0,0.06
II,1,10,9,1,0,0.1
II,1,20,18,2,0,0.1
II,1,40,34,6,0,0.15
II,1,80,68,12,0,0.15
II,1,100,79,21,0,0.21
II,2,10,7,3,0,0.3
II,2,20,19,1,0,0.05
II,2,40,37,3,0,0.075
II,2,80,74,6,0,0.075
II,2,100,88,12,0,0.12
II,3,10,4,6,0,0.6
II,3,20,17,3,0,0.15
II,3,40,39,1,0,0.025
II,3,80,76,4,0,0.05
II,3,100,79,21,0,0.21
II,4,10,6,4,0,0.4
II,4,20,16,4,0,0.2
II,4,40,36,4,0,0.1
II,4,80,74,6,0,0.075
II,4,100,93,7,0,0.07
II,5,10,2,8,0,0.8
II,5,20,13,7,0,0.35
II,5,40,32,8,0,0.2
II,5,80,79,1,0,0.0125
II,5,100,90,10,0,0.1
II,6,10,6,4,0,0.4
II,6,20,13,7,0,0.35
II,6,40,32,8,0,0.2
II,6,80,62,18,0,0.225
II,6,100,73,27,0,0.27
II,7,10,5,5,0,0.5
II,7,20,14,6,0,0.3
II,7,40,32,8,0,0.2
II,7,80,71,9,0,0.1125
II,7,100,80,20,0,0.2
II,8,10,3,7,0,0.7
II,8,20,14,6,0,0.3
II,8,40,32,8,0,0.2
II,8,80,74,6,0,0.075
II,8,100,88,12,0,0.12
II,9,10,4,6,0,0.6
II,9,20,17,3,0,0.15
II,9,40,39,1,0,0.025
II,9,80,74,6,0,0.075
II,9,100,81,19,0,0.19
II,10,10,6,4,0,0.4
II,10,20,18,2,0,0.1
II,10,40,35,5,0,0.125
II,10,80,67,13,0,0.1625
II,10,100,95,5,0,0.05
III,1,10,7,3,0,0.3
III,1,20,12,8,0,0.4
III,1,40,35,5,0,0.125
III,1,80,50,30,0,0.375
III,1,100,81,19,0,0.19
III,2,10,5,5,0,0.5
III,2,20,19,1,0,0.05
III,2,40,31,9,0,0.225
III,2,80,67,13,0,0.1625
III,2,100,93,7,1,0.07
III,3,10,2,8,0,0.8
III,3,20,15,5,0,0.25
III,3,40,27,13,0,0.325
III,3,80,80,0,0,0
III,3,100,86,14,0,0.14
III,4,10,1,9,0,0.9
III,4,20,14,6,0,0.3
III,4,40,31,9,0,0.225
III,4,80,71,9,0,0.1125
III,4,100,85,15,0,0.15
III,5,10,3,7,0,0.7
III,5,20,13,7,0,0.35
III,5,40,35,5,0,0.125
III,5,80,71,9,0,0.1125
III,5,100,88,12,0,0.12
III,6,10,0,10,0,1
III,6,20,11,9,0,0.45
III,6,40,35,5,0,0.125
III,6,80,69,11,0,0.1375
