Instar,Rep,Prey_density,Prey_left,Prey_eaten ,LB_mort,Pconsumed
I,1,10,6,4,0,0.4
I,1,20,11,9,0,0.45
I,1,40,38,2,1,0.05
I,1,80,74,6,0,0.075
I,1,100,87,13,0,0.13
I,2,10,6,4,0,0.4
I,2,20,16,4,0,0.2
I,2,40,38,2,1,0.05
I,2,80,68,12,0,0.15
I,2,100,88,12,0,0.12
I,3,10,7,3,0,0.3
I,3,20,16,4,0,0.2
I,3,40,33,7,0,0.175
I,3,80,72,8,0,0.1
I,3,100,90,10,1,0.1
I,4,10,5,5,0,0.5
I,4,20,12,8,0,0.4
I,4,40,32,8,0,0.2
I,4,80,73,7,0,0.0875
I,4,100,82,18,0,0.18
I,5,10,5,5,0,0.5
I,5,20,14,6,0,0.3
I,5,40,32,8,0,0.2
I,5,80,70,10,0,0.125
I,5,100,82,18,0,0.18
I,6,10,7,3,0,0.3
I,6,20,14,6,0,0.3
I,6,40,36,4,0,0.1
I,6,80,70,10,0,0.125
I,6,100,88,12,0,0.12
I,7,10,9,1,1,0.1
I,7,20,12,8,0,0.4
I,7,40,31,9,0,0.225
I,7,80,71,9,0,0.1125
I,7,100,79,21,0,0.21
I,8,10,4,6,0,0.6
I,8,20,14,6,0,0.3
I,8,40,31,9,0,0.225
I,8,80,70,10,0,0.125
I,8,100,82,18,0,0.18
I,9,10,6,4,0,0.4
I,9,20,15,5,0,0.25
I,9,40,35,5,0,0.125
I,9,80,67,13,0,0.1625
I,9,100,80,20,0,0.2
I,10,10,8,2,0,0.2
I,10,20,14,6,0,0.3
I,10,40,29,11,0,0.275
I,10,80,73,7,0,0.0875
I,10,100,78,22,0,0.22
II,1,10,4,6,0,0.6
II,1,20,1,19,0,0.95
II,1,40,22,18,0,0.45
II,1,80,49,31,0,0.3875
II,1,100,87,13,0,0.13
II,2,10,0,10,0,1
II,2,20,7,13,0,0.65
II,2,40,28,12,0,0.3
II,2,80,48,32,0,0.4
II,2,100,82,18,0,0.18
II,3,10,0,10,0,1
II,3,20,9,11,0,0.55
II,3,40,29,11,0,0.275
II,3,80,61,19,0,0.2375
II,3,100,70,30,0,0.3
II,4,10,0,10,0,1
II,4,20,6,14,0,0.7
II,4,40,19,21,0,0.525
II,4,80,58,22,0,0.275
II,4,100,87,13,0,0.13
II,5,10,1,9,0,0.9
II,5,20,10,10,0,0.5
II,5,40,16,24,0,0.6
II,5,80,43,37,0,0.4625
II,5,100,72,28,0,0.28
II,6,10,4,6,0,0.6
II,6,20,12,8,0,0.4
II,6,40,33,7,0,0.175
II,6,80,58,22,0,0.275
II,6,100,70,30,0,0.3
II,7,10,3,7,0,0.7
II,7,20,5,15,0,0.75
II,7,40,29,11,0,0.275
II,7,80,65,15,0,0.1875
II,7,100,81,19,0,0.19
II,8,10,2,8,0,0.8
II,8,20,12,8,0,0.4
II,8,40,31,9,0,0.225
II,8,80,70,10,0,0.125
II,8,100,76,24,0,0.24
II,9,10,3,7,0,0.7
II,9,20,10,10,0,0.5
II,9,40,25,15,0,0.375
II,9,80,61,19,0,0.2375
II,9,100,79,21,0,0.21
II,10,10,0,10,0,1
II,10,20,8,12,0,0.6
II,10,40,28,12,0,0.3
II,10,80,63,17,0,0.2125
II,10,100,79,21,0,0.21
III,1,10,0,10,0,1
III,1,20,8,12,0,0.6
III,1,40,18,22,0,0.55
III,1,80,60,20,0,0.25
III,1,100,90,10,0,0.1
III,2,10,0,10,0,1
III,2,20,1,19,0,0.95
III,2,40,10,30,0,0.75
III,2,80,46,34,0,0.425
III,2,100,75,25,0,0.25
III,3,10,10,0,1,0
III,3,20,7,13,0,0.65
III,3,40,17,23,0,0.575
III,3,80,67,13,0,0.1625
III,3,100,71,29,0,0.29
III,4,10,6,4,1,0.4
III,4,20,2,18,0,0.9
III,4,40,20,20,0,0.5
III,4,80,59,21,0,0.2625
III,4,100,84,16,0,0.16
III,5,10,0,10,0,1
III,5,20,3,17,0,0.85
III,5,40,18,22,0,0.55
