farm,location,hemp_type,variety,crop_use,plant_density,near_crops,weed management,plot_size,date,evaluation,month,plant,conditions,plant_stage,plant_ height_cm,insect damage,damage_type,tissue_damaged,damage_level,chewing,scraping,boring,mining,rottenbud,hemp_aph,green_aph,other_aph,hlthoppers,fhoppers,blhop,glhop,unk_leafhop_ad,damsell_bug,podisus_m,wheel_bug ,mpiratebugs,miridae_planbugs,tarnished_pb,stink_bugs,whiteflies,unk_hemiptera ,pred_thrips,soybthrip, brown_Thr,yellow_thr,unk_thrips,pink_lb,harm_axy,checker_lb,tiny_lb,unk_lb,lampirids,staphilinids,carabids, fb_altica ,fb_crep,other_fb,unk_herb_ beetles,elaterids,weevils,diabrotica,japanese_b ,crab_spid,jump_spid,sac_spid,orbwev_spid,unk_spiders,harvestmen opiliones,unk_caterp ,tussock moth,arctids,corn_ew,geometridae,hooverfly,leafminer,fruit_flies,gnats,crane_fly,house fly,unk_flies,ants ,parasitic_wasp,bees,lacewings,grasshopper,cricket,otherinsects 
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,16-Jun-22,1,jun,1,Sunny,vegetative,26.67,1,Chew,leaf,low,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,16-Jun-22,1,jun,2,Sunny,vegetative,24.13,1,Chew,leaf,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,16-Jun-22,1,jun,3,Sunny,vegetative,33.02,1,Chew,leaf,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,16-Jun-22,1,jun,4,Sunny,vegetative,30.48,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,16-Jun-22,1,jun,5,Sunny,vegetative,29.21,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,16-Jun-22,1,jun,6,Sunny,vegetative,26.67,0,NA,NA,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,16-Jun-22,1,jun,7,Sunny,vegetative,24.13,1,Chew,leaf,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,16-Jun-22,1,jun,8,Sunny,vegetative,26.67,1,Chew,leaf,low,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,16-Jun-22,1,jun,9,Sunny,vegetative,21.59,0,NA,NA,NA,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,16-Jun-22,1,jun,10,Sunny,vegetative,20.32,1,Chew,leaf,low,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
