Date,Week,Trap,Farm,Plant stage,Hemp type,person,Aeolothripidae,Thripidae,Syrphidae,Dolichopodidae,Tachinidae,Asylidae,Tephritoidea,Chloropidae,Agromyzidae,Cicadellidae,Membracidae,Cercopidae,Fulgoridae,Miridae,Aleyrodidae,Aphididae,Psyllidae,Anthocoridae,Nabidae,Chrysomelidae,Curculionidae,Other herb beetles,Coccinellidae,Staphylinidae,Lampyridae,Hym Parasitoids,Formicidae,Hym Pollinators,Other Hym,Chrysopidae,Arachnids,Tetranychidae,Pieridae,Gelechiidae,Other Moths,Noctuidae,Pirallidae,Glacillariidae,Scythrididae,Tineidae,Hesperidae,Other Lepidoptera,Acrididae,Grillidae,Dermaptera
Jun 17 - Jun 24,1,1,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,0,5,18,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,14,6,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0
Jun 17 - Jun 24,1,2,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,53,3,0,0,0,42,0,0,124,0,0,0,1,1,5,0,0,2,0,0,3,2,0,0,41,1,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,2,0
Jun 17 - Jun 24,1,3,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,85,9,7,0,0,31,0,0,141,0,0,0,0,8,1,0,0,0,4,0,0,0,2,0,33,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Jun 17 - Jun 24,1,4,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,141,11,1,0,0,32,0,0,127,0,0,1,0,2,2,0,0,4,4,0,1,0,2,0,33,37,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,0
Jun 17 - Jun 24,1,5,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,66,5,5,0,0,38,0,0,144,0,0,0,0,7,0,0,0,0,2,0,3,0,1,0,48,2,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,2,1,0
Jun 17 - Jun 24,1,6,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,44,1,12,0,0,4,0,0,85,0,0,0,0,0,2,0,0,0,1,0,6,0,3,0,38,14,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Jun 17 - Jun 24,1,7,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,16,2,12,0,0,16,0,0,65,1,0,0,0,1,2,0,0,0,3,0,2,0,4,0,18,16,0,0,0,3,0,5,0,1,0,0,0,0,0,0,0,0,1,0
Jun 24 - July 01,2,1,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,43,1,16,0,0,26,0,0,135,3,0,0,2,2,9,0,0,0,11,0,0,3,2,0,22,41,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,1
Jun 24 - July 01,2,2,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,87,7,12,0,0,20,2,0,196,8,0,1,11,4,5,0,0,2,6,0,0,4,1,0,22,8,0,0,0,6,0,8,0,1,0,0,0,0,0,0,0,1,1,0
Jun 24 - July 01,2,3,SEAREC_trial,Vegetative,Fiber,Tori Strausser,3,85,4,11,0,0,21,0,0,102,3,0,0,3,4,3,0,1,3,6,0,2,4,0,1,19,10,0,1,1,4,0,10,0,0,0,0,0,0,0,0,0,0,1,0
Jun 24 - July 01,2,4,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,77,7,9,0,0,8,0,0,116,6,3,2,9,4,1,0,0,5,5,0,3,6,1,0,32,27,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0
Jun 24 - July 01,2,5,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,120,5,6,0,0,45,0,0,218,5,1,0,8,6,4,0,0,3,19,0,2,3,1,0,28,8,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,5,0
Jun 24 - July 01,2,6,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,142,5,4,0,0,8,0,0,134,13,4,0,6,3,1,0,1,9,12,0,8,0,0,0,27,41,0,5,0,9,0,2,0,2,0,0,0,0,0,0,0,1,2,0
Jun 24 - July 01,2,7,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,0,3,29,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,6,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
July 01 - July 07,3,1,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,56,1,14,0,0,24,3,0,106,0,6,1,4,3,6,0,0,0,5,0,3,5,0,0,24,3,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0
July 01 - July 07,3,2,SEAREC_trial,Vegetative,Fiber,Tori Strausser,13,35,1,21,0,0,13,5,0,37,0,0,1,2,0,6,0,0,1,21,0,1,0,0,0,27,6,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
July 01 - July 07,3,3,SEAREC_trial,Vegetative,Fiber,Tori Strausser,12,126,3,6,0,0,42,2,0,83,2,0,2,11,3,6,0,1,3,7,0,9,3,1,0,37,23,0,2,0,15,0,1,0,0,0,0,0,0,0,0,0,1,0,0
July 01 - July 07,3,4,SEAREC_trial,Vegetative,Fiber,Tori Strausser,7,125,3,3,0,0,16,1,0,66,1,0,2,0,8,0,0,0,2,26,1,2,0,0,0,29,11,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,1,0
July 01 - July 07,3,5,SEAREC_trial,Vegetative,Fiber,Tori Strausser,5,38,2,0,0,0,6,0,0,27,0,0,0,2,3,0,0,0,1,17,0,2,0,0,0,26,41,0,4,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0
July 01 - July 07,3,6,SEAREC_trial,Vegetative,Fiber,Tori Strausser,1,87,3,3,0,0,10,4,0,225,1,2,2,10,9,0,0,0,1,8,0,3,4,2,0,35,11,0,1,0,12,0,2,0,0,0,0,0,0,0,0,0,1,3,0
July 07 - July 14,4,1,SEAREC_trial,Vegetative,Fiber,Tori Strausser,16,138,15,1,0,0,44,2,0,205,0,0,2,12,13,0,0,0,0,5,0,1,5,0,0,22,1,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
July 07 - July 14,4,2,SEAREC_trial,Vegetative,Fiber,Tori Strausser,7,72,9,4,0,0,42,7,0,131,0,0,0,6,5,1,0,0,5,13,0,1,7,0,0,24,1,0,4,1,4,0,1,0,1,0,0,0,0,0,0,0,2,3,0
July 07 - July 14,4,3,SEAREC_trial,Vegetative,Fiber,Tori Strausser,13,31,0,12,0,0,12,1,0,122,0,0,2,15,8,9,0,0,3,9,0,9,9,0,0,66,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
July 07 - July 14,4,4,SEAREC_trial,Vegetative,Fiber,Tori Strausser,8,31,0,2,0,0,28,0,0,119,0,0,1,3,9,2,0,0,2,8,0,16,15,0,0,72,3,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,3,2,0
July 07 - July 14,4,5,SEAREC_trial,Vegetative,Fiber,Tori Strausser,4,26,5,1,0,0,20,7,0,94,0,0,2,11,5,0,0,0,2,0,0,2,6,0,0,7,0,0,1,0,17,0,0,0,1,0,0,0,0,0,0,0,1,0,0
July 07 - July 14,4,6,SEAREC_trial,Vegetative,Fiber,Tori Strausser,3,33,0,1,0,0,6,0,0,128,0,0,0,0,7,1,0,0,3,11,0,1,4,1,0,63,3,0,1,0,9,0,0,0,1,0,0,0,0,0,0,0,2,0,0
