SAMPLE,cis-3-hexen-1-ol,a- Pinene,Camphene,b- Pinene,Myrcene,Limonene,trans-b- Ocimene,Linalool,Nonyl acetate,b-Elemene,a- Zingiberene,a-Humulene (a-Caryophyllene),b- Selinene,"(E)-a-Farnesene;   ( (E,E)-a-?)"
VNI,40.10705157,1002.229008,34.68333905,283.5110212,104.4943052,77.03464661,223.8468596,25.76943876,155.0387597,369.1591885,81.63201239,108.9024549,31.64641072,100.4972761
VNI,50.67979453,215.942769,7.626711638,91.62460431,612.676711,93.93361917,27.2207167,3.250784611,170.9401709,103.4738937,46.89878399,26.02109146,33.51055349,33.51055349
VNI,106.833431,480.7647539,17.37286659,238.255368,69.76542078,442.5762037,357.3664161,47.79504493,164.6090535,314.0739625,73.68402081,112.0070539,18.67689065,97.40425774
VNI,576.9796728,1505.371722,370.368384,521.2023407,96.04706203,122.7749227,127.9268612,62.16847916,156.8627451,415.328428,58.13342048,151.3916199,9.641974203,47.25567152
VNI,354.6859873,185.2388057,2.702469604,67.37325664,126.4136825,9.016571415,27.24801483,25.37246198,144.9275362,721.3876889,73.51000188,212.9719646,3.295117,88.63076275
VINF,105.8886574,482.076965,11.42706457,172.4200495,17.72119129,26.54304949,80.36014379,1.877879848,148.1481481,51.63905054,35.30690412,15.45146224,26.28759842,79.55968362
VINF,491.1964331,78.26237717,1.113368548,34.66093641,450.7846598,173.7025626,48.01110994,9.417051675,314.9606299,189.8585109,47.21520789,44.40467965,10.27844047,304.0180782
VINF,87.90970054,221.5738373,1.011987379,39.43195491,26.08433428,10.0748455,34.37868645,4.547049338,223.4636872,112.4265023,27.63780276,30.98582863,3.555139978,55.34801291
VINF,590.3532747,117.9636109,0.403037719,17.54229496,44.49448953,7.432309,2.08404197,1.744832541,153.8461538,155.3376888,32.22793764,39.80020474,6.49397258,26.29681158
FNI,0.11690828,506.2050019,0.941428692,165.5270256,73.76962554,52.84239795,186.3384661,12.98491389,103.8961039,1656.502178,188.2575083,584.228102,105.9853547,506.3498387
FNI,7.049826192,1332.476517,43.22775215,621.0797206,123.493098,1036.278849,1326.561428,8.638550235,61.06870229,2135.405577,331.1972645,931.3198341,366.6385845,527.2006397
FNI,0.416869826,157.3926049,0.376195237,86.97914199,213.5457584,581.5825134,378.0599983,16.24592341,53.76344086,1038.945655,152.6039702,302.408014,178.5918401,213.3689809
FNI,2.984609924,1835.270224,52.27578667,704.5950785,438.1208661,209.0404072,577.0914834,10.12227292,74.07407407,2582.862089,605.1604445,1078.875403,587.7379441,929.8134676
FNI,345.092498,1778.51307,56.12316201,772.4756586,194.8031383,770.8933716,262.2487335,10.25331487,70.42253521,2032.789044,390.1979116,677.7076471,251.261042,335.6671171
FINF,3.17898106,1725.241687,52.74970985,674.0712932,108.1317717,157.4263208,331.9555062,35.90643813,79.0513834,2645.106307,120.9703252,697.3794775,286.92649,605.2936018
FINF,20.27863861,3383.613541,103.4548573,1322.015792,212.0723894,308.7508461,651.0445198,18.03857142,155.0387597,5187.689114,828.381306,1664.303241,353.490027,438.6843818
FINF,32.99818428,1817.788392,65.00384074,858.763902,220.5983865,1433.749434,1270.476047,20.55463573,106.1007958,853.3632474,277.6839732,252.6826502,112.5877164,867.4750299
FINF,10.749593,282.0956585,3.13508558,201.8577145,325.0643314,516.7881711,264.8217314,22.60173873,91.95402299,874.9499457,179.111487,226.7684378,28.3711041,434.4589493
FINF,2.1386543,1117.29436,5.006941865,561.0389764,341.7346428,689.714061,698.338875,13.94040094,88.30022075,1386.161566,246.5418111,376.7233817,203.0436135,858.7558448
